1,1
10,2
100,3
1000,4
101,5
102,6
103,7
104,8
105,9
106,10
107,11
108,1
109,1
11,12
110,13
111,14
112,15
113,16
114,2
115,17
116,18
117,1
118,19
119,20
12,21
120,1
121,1
122,22
123,21
124,23
125,24
126,1
127,25
128,1
129,26
13,27
130,17
131,28
132,29
133,30
134,17
135,17
136,31
137,2
138,32
139,33
14,17
140,27
141,17
142,23
143,1
144,34
145,35
146,1
147,36
148,1
149,17
15,37
150,33
151,17
152,17
153,17
154,38
155,39
156,30
157,1
158,17
159,17
16,17
160,17
161,1
162,40
163,38
164,1
165,4
166,31
167,41
168,17
169,1
17,11
170,25
171,22
172,13
173,1
174,13
175,4
176,26
177,17
178,30
179,1
18,42
180,1
181,43
182,1
183,1
184,28
185,31
186,1
187,1
188,17
189,1
19,1
190,1
191,1
192,44
193,45
194,17
195,17
196,17
197,46
198,17
199,47
2,17
20,48
200,1
201,1
202,1
203,49
204,17
205,34
206,1
207,50
208,17
209,51
21,30
210,17
211,17
212,30
213,1
214,42
215,1
216,34
217,38
218,17
219,17
22,52
220,2
221,1
222,1
223,1
224,53
225,54
226,17
227,55
228,20
229,24
23,30
230,56
231,10
232,10
233,57
234,34
235,17
236,38
237,34
238,17
239,17
24,17
240,58
241,59
242,42
243,1
244,3
245,60
246,1
247,1
248,1
249,61
25,1
250,31
251,62
252,38
253,63
254,17
255,38
256,64
257,62
258,65
259,1
26,66
260,49
261,1
262,10
263,67
264,1
265,10
266,68
267,25
268,1
269,1
27,10
270,69
271,30
272,70
273,60
274,1
275,30
276,17
277,1
278,1
279,54
28,3
280,58
281,20
282,6
283,19
284,2
285,25
286,36
287,36
288,71
289,72
29,1
290,19
291,1
292,1
293,1
294,2
295,1
296,39
297,47
298,17
299,73
3,30
30,74
300,40
301,33
302,1
303,57
304,68
305,75
306,17
307,18
308,1
309,31
31,36
310,15
311,76
312,77
313,1
314,65
315,30
316,6
317,1
318,1
319,72
32,78
320,36
321,79
322,65
323,22
324,57
325,80
326,40
327,17
328,81
329,17
33,82
330,80
331,1
332,1
333,1
334,59
335,65
336,16
337,83
338,17
339,16
34,1
340,2
341,84
342,1
343,17
344,58
345,85
346,1
347,56
348,9
349,1
35,35
350,60
351,1
352,19
353,86
354,1
355,4
356,1
357,1
358,2
359,87
36,73
360,87
361,26
362,1
363,57
364,17
365,88
366,1
367,36
368,37
369,24
37,17
370,23
371,5
372,1
373,17
374,7
375,89
376,31
377,34
378,40
379,90
38,1
380,1
381,29
382,91
383,6
384,17
385,81
386,17
387,92
388,93
389,1
39,69
390,78
391,67
392,1
393,1
394,1
395,94
396,6
397,82
398,77
399,17
4,3
40,17
400,1
401,51
402,7
403,49
404,20
405,28
406,63
407,1
408,13
409,1
41,95
410,1
411,17
412,17
413,19
414,56
415,19
416,96
417,34
418,1
419,1
42,17
420,17
421,97
422,21
423,17
424,81
425,98
426,57
427,99
428,1
429,17
43,54
430,17
431,17
432,1
433,1
434,100
435,1
436,61
437,35
438,78
439,86
44,100
440,9
441,17
442,2
443,72
444,19
445,22
446,29
447,100
448,17
449,101
45,37
450,19
451,89
452,58
453,17
454,5
455,60
456,19
457,90
458,7
459,1
46,19
460,22
461,102
462,103
463,1
464,104
465,4
466,97
467,17
468,17
469,63
47,17
470,45
471,1
472,1
473,17
474,105
475,67
476,22
477,1
478,106
479,94
48,13
480,1
481,70
482,23
483,107
484,104
485,27
486,1
487,17
488,17
489,1
49,28
490,1
491,1
492,1
493,67
494,80
495,21
496,94
497,26
498,77
499,1
5,5
50,24
500,17
501,33
502,1
503,17
504,1
505,66
506,108
507,60
508,35
509,1
51,109
510,24
511,5
512,6
513,17
514,24
515,1
516,58
517,12
518,110
519,17
52,85
520,105
521,45
522,24
523,19
524,36
525,1
526,17
