1,175.49,7.6821,13,13,0,0,13,0,0
2,308.86,5.304,17,17,0,10,7,0,3
3,166.58,5.409,17,17,0,8,9,0,4
4,269.66,5.1663e-07,19,17,1,9,8,1,4
5,268.86,5.1663e-07,17,15,1,6,9,1,3
6,265.9,5.1663e-07,17,15,1,6,10,0,4
7,192.73,5.2029,17,17,0,12,5,0,4
8,199.29,5.304,17,17,0,10,7,0,4
9,216.58,6.204,15,15,0,6,9,0,2
10,185.98,5.304,17,17,0,10,7,0,4
11,206.56,5.1663e-07,15,13,1,2,12,0,2
12,228.24,6.0662,15,15,0,8,7,0,1
13,270.4,5.253,17,17,0,10,6,1,2
14,234.55,5.5184,17,17,0,6,11,0,1
15,174.46,5.304,17,17,0,10,7,0,3
16,191.51,5.1663e-07,17,15,1,8,8,0,4
17,196.64,6.204,15,15,0,6,9,0,2
18,296.25,4.6716,19,19,0,12,6,1,5
19,303.7,5.4632,17,17,0,6,10,1,1
20,297.75,5.1663e-07,15,13,1,2,12,0,1
21,334.44,5.1663e-07,15,13,1,4,10,0,2
22,283.14,5.1663e-07,15,13,1,2,12,0,2
23,282.63,5.1663e-07,19,17,1,6,11,1,3
24,324.55,5.356,17,17,0,8,8,1,1
25,182.47,6.204,15,15,0,6,9,0,2
26,289.71,5.1663e-07,19,17,1,10,7,1,5
27,200.83,5.5184,17,17,0,6,11,0,2
28,174.98,5.1663e-07,15,13,1,2,12,0,2
29,218.55,5.356,17,17,0,8,8,1,3
30,216.38,6.4229,15,15,0,2,12,1,1
31,322.52,5.409,17,17,0,8,9,0,5
32,204.32,5.1663e-07,17,15,1,8,8,0,3
33,367.31,5.304,17,17,0,10,7,0,4
34,220.03,5.356,17,17,0,8,8,1,4
35,223.18,6.204,15,15,0,6,9,0,2
36,147.66,5.1663e-07,17,15,1,6,9,1,4
37,154.36,5.1663e-07,17,15,1,6,10,0,3
38,226.48,7.6821,13,13,0,0,13,0,0
39,154.12,5.409,17,17,0,8,9,0,3
40,262.9,5.5184,17,17,0,6,11,0,2
41,185.98,5.253,17,17,0,10,6,1,5
42,407.69,5.1663e-07,19,17,1,6,11,1,3
43,260.11,2.5832e-07,17,13,2,2,13,0,2
44,267.84,5.1663e-07,15,13,1,4,10,0,1
45,225.48,5.304,17,17,0,10,7,0,2
46,215.12,5.1663e-07,19,17,1,8,9,1,4
47,217.95,6.204,15,15,0,6,9,0,2
48,223.4,5.1663e-07,17,15,1,5,10,1,3
49,299.67,5.1663e-07,15,13,1,2,12,0,1
50,457.19,6.204,15,15,0,6,9,0,2
51,204.63,5.356,17,17,0,8,8,1,2
52,226.27,5.304,17,17,0,8,7,2,4
53,315.29,5.304,17,17,0,10,7,0,3
54,353.17,5.1663e-07,17,15,1,4,12,0,3
55,252.33,5.4632,17,17,0,6,10,1,2
56,168.03,5.4632,17,17,0,6,10,1,2
57,185.21,6.3482,15,15,0,4,11,0,2
58,233.2,6.3482,15,15,0,4,11,0,1
59,167.32,6.3482,15,15,0,4,11,0,2
60,183.71,5.1663e-07,17,15,1,6,10,0,2
61,294.52,5.1663e-07,17,15,1,6,10,0,3
62,254.78,5.304,17,17,0,10,7,0,4
63,177.6,5.1663e-07,17,15,1,6,10,0,3
64,181.77,6.204,15,15,0,6,9,0,2
65,174.72,6.204,15,15,0,6,9,0,3
66,227.43,4.753,19,19,0,10,8,1,5
67,269.64,6.2753,15,15,0,4,10,1,1
68,426.74,6.3482,15,15,0,4,11,0,2
69,390.3,5.5184,17,17,0,6,11,0,3
70,164.88,5.1663e-07,17,15,1,6,9,1,3
71,193.07,6.0662,15,15,0,8,7,0,3
72,236.95,6.204,15,15,0,6,9,0,2
73,237.34,5.304,17,17,0,10,7,0,4
74,184.02,5.1663e-07,19,17,1,11,5,2,6
75,209.18,6.204,15,15,0,6,9,0,1
76,284.04,6.2753,15,15,0,4,10,1,2
77,204.46,6.2753,15,15,0,4,10,1,2
78,276.36,6.204,15,15,0,6,9,0,2
79,150.79,5.4632,17,17,0,6,10,1,2
80,251.53,5.1663e-07,17,15,1,6,9,1,5
81,282.36,5.1663e-07,17,15,1,6,9,1,3
82,319.71,6.3482,15,15,0,4,11,0,1
83,165.27,5.304,17,17,0,8,7,2,2
84,368.22,5.1663e-07,15,13,1,2,12,0,2
